Component,Technology,Location,Purpose,Key Features,Dependencies
Backend API,Go 1.23,/backend/cmd/server/main.go,Main application server,Gin web framework | RESTful API | CORS enabled | Port 8080,Go modules | Gin framework
Data Models,Go Structs,/backend/internal/models/models.go,Define data structures,5 node types | Relationship model | JSON serialization | Time handling,Go time package
Database Layer,Neo4j Go Driver,/backend/internal/database/neo4j.go,Graph database operations,Connection management | ExecuteQuery | ExecuteRead | Session handling,Neo4j 5.15 Community Edition
API Handlers,Go Functions,/backend/internal/handlers/handlers.go,Request processing logic,CRUD operations | Complex queries | Error handling | Type conversion helpers,Database layer | Models
Container Runtime,Docker Compose,/docker-compose.yml,Development environment,Neo4j container | Go app container | Hot reload with Air | Data persistence,Docker | Air tool
Neo4j Database,Graph Database,Docker container,Knowledge graph storage,Nodes: Concept/Essay/Claim/Source/Question | Relationships: 7 types | APOC plugins,Neo4j image
Hot Reload,Air,/Dockerfile,Development workflow,Automatic rebuild | File watching | Fast iteration,Air binary
Build System,Go Modules,/backend/go.mod,Dependency management,Neo4j driver v5.28.3 | Gin framework | Module github.com/anuragk02/jna-nuh-yoh-guh,Go 1.23
Testing,Bash Script,/test-api.sh,API validation,Comprehensive CRUD testing | Relationship testing | Update/Delete validation | Error scenarios,curl | jq
Documentation,CSV Files,/documentation_*.csv,System documentation,Data models | API endpoints | Complex queries | System architecture,Manual creation
