Entity Type,Field Name,Data Type,JSON Key,Validation,Description,Constraints,Example Value,JSON Behavior
Narrative,ID,string,id,Auto-generated,Unique identifier for the narrative,Auto-generated with prefix narrative_,narrative_1758576819,Always present
Narrative,Title,string,title,No validation,Title of the narrative,Can be empty string,Understanding Traffic Flow,Always present
Narrative,Content,string,content,No validation,Full text content describing the system,Can be empty string,This narrative explores how traffic systems exhibit complex behaviors,Always present
Narrative,CreatedAt,time.Time,created_at,Auto-generated,Creation timestamp,Auto-generated ISO 8601,2025-09-22T21:33:39Z,Always present
Narrative,UpdatedAt,time.Time,updated_at,Auto-generated,Last modification timestamp,Auto-generated ISO 8601 | omitempty,2025-09-22T21:45:15Z,Excluded if zero time

System,ID,string,id,Auto-generated,Unique identifier for the system,Auto-generated with prefix system_,system_1758576829,Always present
System,Name,string,name,No validation,Name of the system,Can be empty string,Urban Traffic System,Always present
System,BoundaryDescription,string,boundary_description,No validation,Description of system boundaries,Optional field | omitempty,City roads and traffic lights within downtown area,Excluded if empty string
System,Type,string,type,No validation,Type/category of the system,Optional field | omitempty,Transportation,Excluded if empty string
System,CreatedAt,time.Time,created_at,Auto-generated,Discovery/creation timestamp,Auto-generated ISO 8601,2025-09-22T21:33:49Z,Always present

Stock,ID,string,id,Auto-generated,Unique identifier for the stock,Auto-generated with prefix stock_,stock_1758576860,Always present
Stock,Name,string,name,No validation,Name of the stock/accumulation,Can be empty string,Number of Cars on Road,Always present
Stock,Description,string,description,No validation,Description of what accumulates,Optional field | omitempty,The accumulation of vehicles currently traveling through the system,Excluded if empty string
Stock,CreatedAt,time.Time,created_at,Auto-generated,Discovery/creation timestamp,Auto-generated ISO 8601,2025-09-22T21:34:20Z,Always present

Flow,ID,string,id,Auto-generated,Unique identifier for the flow,Auto-generated with prefix flow_,flow_1758576873,Always present
Flow,Name,string,name,No validation,Name of the flow/rate,Can be empty string,Cars Entering System,Always present
Flow,Description,string,description,No validation,Description of the rate/flow,Can be empty string,Rate at which vehicles enter the traffic system per hour,Always present
Flow,CreatedAt,time.Time,created_at,Auto-generated,Discovery/creation timestamp,Auto-generated ISO 8601,2025-09-22T21:34:33Z,Always present

QuestionData,ID,string,id,Auto-generated,Unique identifier for the question,Auto-generated with prefix question_,question_1758576900,Always present
QuestionData,Content,string,content,No validation,The question text/content,Can be empty string,How does traffic light timing affect congestion?,Always present
QuestionData,Status,string,status,No validation,Current status of the question,Can be empty string,unresolved | resolved,Always present
QuestionData,Type,string,type,No validation,Type of question being asked,Can be empty string,behavioral | causal | mechanism,Always present
QuestionData,CreatedAt,time.Time,created_at,Auto-generated,Creation timestamp,Auto-generated ISO 8601,2025-09-22T21:35:00Z,Always present
QuestionData,UpdatedAt,time.Time,updated_at,Auto-generated,Last modification timestamp,Auto-generated ISO 8601 | omitempty,2025-09-22T21:45:30Z,Excluded if zero time

CausalLink,FromID,string,from_id,No validation,Source node identifier,Should reference existing node,flow_1758576873,Always present
CausalLink,FromType,string,from_type,No validation,Type of source node,Should be valid type,Flow,Always present
CausalLink,ToID,string,to_id,No validation,Target node identifier,Should reference existing node,stock_1758576860,Always present
CausalLink,ToType,string,to_type,No validation,Type of target node,Should be valid type,Stock,Always present
CausalLink,Polarity,float32,polarity,No validation,Direction of causal influence,Positive or negative value,1.0 | -0.5,Always present
CausalLink,Confidence,float32,confidence,No validation,Confidence in the causal relationship,0.0 to 1.0 range,0.8,Always present
CausalLink,StockCount,int,stock_count,No validation,Number of stocks involved,Numeric value | omitempty,1,Excluded if 0
CausalLink,FlowCount,int,flow_count,No validation,Number of flows involved,Numeric value | omitempty,1,Excluded if 0
CausalLink,CreatedAt,time.Time,created_at,Auto-generated,Creation timestamp,Auto-generated ISO 8601,2025-09-22T21:35:45Z,Always present

Describes,NarrativeID,string,narrative_id,No validation,ID of the narrative,Should reference existing narrative,narrative_1758576819,Always present
Describes,SystemID,string,system_id,No validation,ID of the system being described,Should reference existing system,system_1758576829,Always present

Constitutes,SubsystemID,string,subsystem_id,No validation,ID of the subsystem,Should reference existing system,system_1758576900,Always present
Constitutes,SystemID,string,system_id,No validation,ID of the parent system,Should reference existing system,system_1758576829,Always present

DescribesStatic,StockID,string,stock_id,No validation,ID of the stock,Should reference existing stock,stock_1758576860,Always present
DescribesStatic,SystemID,string,system_id,No validation,ID of the system,Should reference existing system,system_1758576829,Always present

DescribesDynamic,FlowID,string,flow_id,No validation,ID of the flow,Should reference existing flow,flow_1758576873,Always present
DescribesDynamic,SystemID,string,system_id,No validation,ID of the system,Should reference existing system,system_1758576829,Always present

Changes,FlowID,string,flow_id,No validation,ID of the flow causing change,Should reference existing flow,flow_1758576873,Always present
Changes,StockID,string,stock_id,No validation,ID of the stock being changed,Should reference existing stock,stock_1758576860,Always present
Changes,Polarity,float32,polarity,No validation,Direction of change,Positive or negative value,1.0 | -1.0,Always present
